"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1982-1983","199.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1983-1984","62.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1984-1985","73.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1985-1986","165.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1987-1988","186.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1988-1989","125.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1989-1990","95.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1990-1991","186.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1991-1992","177.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1992-1993","76.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1993-1994","91.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1994-1995","185.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1995-1996","43.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1996-1997","125.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1997-1998","119.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1998-1999","30.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1999-2000","37.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2000-2001","94.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2001-2002","94.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2002-2003","100.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2003-2004","86.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2004-2005","104.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2005-2006","65.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2006-2007","158.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2007-2008","66.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2008-2009","38.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2009-2010","167.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2010-2011","38.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2011-2012","45.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2012-2013","107.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2013-2014","84.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2014-2015","125.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2015-2016","83.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2016-2017","55.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2017-2018","84.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2018-2019","72.5"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2019-2020","153.5"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2020-2021","20.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","2021-2022","72.0"
